05:09:28.133 Scope                     [004] SupportedActions Get => 3 item(s)
05:09:28.133 Scope                     [004] Action > (Serial:PassThroughCommand, :GX#,#) called
05:09:28.133 Serial                    [004] SendMessage Nr0010 > (:GX#,#) - awaiting lock
05:09:28.133 Serial                    [004] SendMessage Nr0010 - acquired lock
05:09:28.133 Serial                    [004] SendMessage Nr0010 - Sending command, expecting HashTerminated reply for ':GX#'
05:09:28.163 Serial                    [004] SendMessage Nr0010 - Reply: Tracking,--T---,-207,0,15907,061103,+900000,,
05:09:28.164 Serial                    [004] SendMessage Nr0010 - Releasing lock
05:09:28.164 Serial                    [004] SendMessage Nr0010 < Released lock
05:09:28.164 Scope                     [004] Action < result: Tracking,--T---,-207,0,15907,061103,+900000,,
05:09:28.164 Scope                     [004] SupportedActions Get => 3 item(s)
05:09:28.164 Scope                     [004] Action > (Serial:PassThroughCommand, :XGL#,#) called
05:09:28.164 Serial                    [004] SendMessage Nr0011 > (:XGL#,#) - awaiting lock
05:09:28.164 Serial                    [004] SendMessage Nr0011 - acquired lock
05:09:28.164 Serial                    [004] SendMessage Nr0011 - Sending command, expecting HashTerminated reply for ':XGL#'
05:09:28.173 Serial                    [004] SendMessage Nr0011 - Reply: 061616
05:09:28.173 Serial                    [004] SendMessage Nr0011 - Releasing lock
05:09:28.173 Serial                    [004] SendMessage Nr0011 < Released lock
05:09:28.173 Scope                     [004] Action < result: 061616
05:09:29.176 Scope                     [004] SupportedActions Get => 3 item(s)
05:09:29.176 Scope                     [004] Action > (Serial:PassThroughCommand, :GX#,#) called
05:09:29.176 Serial                    [004] SendMessage Nr0012 > (:GX#,#) - awaiting lock
05:09:29.176 Serial                    [004] SendMessage Nr0012 - acquired lock
05:09:29.176 Serial                    [004] SendMessage Nr0012 - Sending command, expecting HashTerminated reply for ':GX#'
05:09:29.206 Serial                    [004] SendMessage Nr0012 - Reply: Tracking,--T---,-207,0,15951,061103,+900000,,
05:09:29.206 Serial                    [004] SendMessage Nr0012 - Releasing lock
05:09:29.206 Serial                    [004] SendMessage Nr0012 < Released lock
05:09:29.206 Scope                     [004] Action < result: Tracking,--T---,-207,0,15951,061103,+900000,,
05:09:29.206 Scope                     [004] SupportedActions Get => 3 item(s)
05:09:29.206 Scope                     [004] Action > (Serial:PassThroughCommand, :XGL#,#) called
05:09:29.206 Serial                    [004] SendMessage Nr0013 > (:XGL#,#) - awaiting lock
05:09:29.206 Serial                    [004] SendMessage Nr0013 - acquired lock
05:09:29.206 Serial                    [004] SendMessage Nr0013 - Sending command, expecting HashTerminated reply for ':XGL#'
05:09:29.216 Serial                    [004] SendMessage Nr0013 - Reply: 061617
05:09:29.216 Serial                    [004] SendMessage Nr0013 - Releasing lock
05:09:29.216 Serial                    [004] SendMessage Nr0013 < Released lock
05:09:29.216 Scope                     [004] Action < result: 061617
05:09:30.205 Scope                     [004] SupportedActions Get => 3 item(s)
05:09:30.205 Scope                     [004] Action > (Serial:PassThroughCommand, :GX#,#) called
05:09:30.205 Serial                    [004] SendMessage Nr0014 > (:GX#,#) - awaiting lock
05:09:30.205 Serial                    [004] SendMessage Nr0014 - acquired lock
05:09:30.205 Serial                    [004] SendMessage Nr0014 - Sending command, expecting HashTerminated reply for ':GX#'
05:09:30.235 Serial                    [004] SendMessage Nr0014 - Reply: Tracking,--T---,-207,0,15994,061103,+900000,,
05:09:30.235 Serial                    [004] SendMessage Nr0014 - Releasing lock
05:09:30.235 Serial                    [004] SendMessage Nr0014 < Released lock
05:09:30.235 Scope                     [004] Action < result: Tracking,--T---,-207,0,15994,061103,+900000,,
05:09:30.235 Scope                     [004] SupportedActions Get => 3 item(s)
05:09:30.235 Scope                     [004] Action > (Serial:PassThroughCommand, :XGL#,#) called
05:09:30.235 Serial                    [004] SendMessage Nr0015 > (:XGL#,#) - awaiting lock
05:09:30.235 Serial                    [004] SendMessage Nr0015 - acquired lock
05:09:30.235 Serial                    [004] SendMessage Nr0015 - Sending command, expecting HashTerminated reply for ':XGL#'
05:09:30.244 Serial                    [004] SendMessage Nr0015 - Reply: 061618
05:09:30.244 Serial                    [004] SendMessage Nr0015 - Releasing lock
05:09:30.244 Serial                    [004] SendMessage Nr0015 < Released lock
05:09:30.244 Scope                     [004] Action < result: 061618
05:09:31.239 Scope                     [004] SupportedActions Get => 3 item(s)
05:09:31.239 Scope                     [004] Action > (Serial:PassThroughCommand, :GX#,#) called
05:09:31.239 Serial                    [004] SendMessage Nr0016 > (:GX#,#) - awaiting lock
05:09:31.239 Serial                    [004] SendMessage Nr0016 - acquired lock
05:09:31.239 Serial                    [004] SendMessage Nr0016 - Sending command, expecting HashTerminated reply for ':GX#'
05:09:31.269 Serial                    [004] SendMessage Nr0016 - Reply: Tracking,--T---,-207,0,16038,061103,+900000,,
05:09:31.269 Serial                    [004] SendMessage Nr0016 - Releasing lock
05:09:31.269 Serial                    [004] SendMessage Nr0016 < Released lock
05:09:31.269 Scope                     [004] Action < result: Tracking,--T---,-207,0,16038,061103,+900000,,
05:09:31.269 Scope                     [004] SupportedActions Get => 3 item(s)
05:09:31.269 Scope                     [004] Action > (Serial:PassThroughCommand, :XGL#,#) called
05:09:31.269 Serial                    [004] SendMessage Nr0017 > (:XGL#,#) - awaiting lock
05:09:31.269 Serial                    [004] SendMessage Nr0017 - acquired lock
05:09:31.269 Serial                    [004] SendMessage Nr0017 - Sending command, expecting HashTerminated reply for ':XGL#'
05:09:31.278 Serial                    [004] SendMessage Nr0017 - Reply: 061619
05:09:31.278 Serial                    [004] SendMessage Nr0017 - Releasing lock
